accession,goAnnotation.ontologyTerm.identifier,goAnnotation.ontologyTerm.namespace,goAnnotation.qualifier
CPX:CPX-1015,GO:0000981,molecular_function,biolink:enables
CPX:CPX-1015,GO:0005667,cellular_component,biolink:located_in
CPX:CPX-1015,GO:0042762,biological_process,biolink:actively_involved_in
CPX:CPX-1015,GO:0045944,biological_process,biolink:actively_involved_in
CPX:CPX-1016,GO:0000981,molecular_function,biolink:enables
CPX:CPX-1016,GO:0042762,biological_process,biolink:actively_involved_in
CPX:CPX-1016,GO:0045944,biological_process,biolink:actively_involved_in
CPX:CPX-1016,GO:0089713,cellular_component,biolink:located_in
CPX:CPX-1018,GO:0005524,molecular_function,biolink:enables
CPX:CPX-1018,GO:0045332,biological_process,biolink:actively_involved_in
CPX:CPX-1018,GO:0140326,molecular_function,biolink:enables
CPX:CPX-1018,GO:1990531,cellular_component,biolink:located_in
CPX:CPX-1021,GO:0005524,molecular_function,biolink:enables
CPX:CPX-1021,GO:0045332,biological_process,biolink:actively_involved_in
CPX:CPX-1021,GO:0140326,molecular_function,biolink:enables
CPX:CPX-1021,GO:1990531,cellular_component,biolink:located_in
CPX:CPX-1022,GO:0005524,molecular_function,biolink:enables
CPX:CPX-1022,GO:0045332,biological_process,biolink:actively_involved_in
CPX:CPX-1022,GO:0140326,molecular_function,biolink:enables
CPX:CPX-1022,GO:1990531,cellular_component,biolink:located_in
CPX:CPX-1026,GO:0005524,molecular_function,biolink:enables
CPX:CPX-1026,GO:0045332,biological_process,biolink:actively_involved_in
CPX:CPX-1026,GO:0140326,molecular_function,biolink:enables
CPX:CPX-1026,GO:1990531,cellular_component,biolink:located_in
CPX:CPX-1028,GO:0010008,cellular_component,biolink:located_in
CPX:CPX-1028,GO:0098629,biological_process,biolink:actively_involved_in
CPX:CPX-1028,GO:0140326,molecular_function,biolink:enables
CPX:CPX-1036,GO:0006298,biological_process,biolink:actively_involved_in
CPX:CPX-1036,GO:0030983,molecular_function,biolink:enables
CPX:CPX-1036,GO:0032302,cellular_component,biolink:located_in
CPX:CPX-1037,GO:0005524,molecular_function,biolink:enables
CPX:CPX-1037,GO:0006298,biological_process,biolink:actively_involved_in
CPX:CPX-1037,GO:0016887,molecular_function,biolink:enables
CPX:CPX-1037,GO:0030983,molecular_function,biolink:enables
CPX:CPX-1037,GO:0032301,cellular_component,biolink:located_in
CPX:CPX-1038,GO:0005634,cellular_component,biolink:located_in
CPX:CPX-1038,GO:0005667,cellular_component,biolink:located_in
CPX:CPX-1038,GO:0006355,biological_process,biolink:actively_involved_in
CPX:CPX-1038,GO:0006631,biological_process,biolink:actively_involved_in
CPX:CPX-1038,GO:0007031,biological_process,biolink:actively_involved_in
CPX:CPX-1038,GO:0043565,molecular_function,biolink:enables
CPX:CPX-1039,GO:0005634,cellular_component,biolink:located_in
CPX:CPX-1039,GO:0006348,None,None
CPX:CPX-1039,GO:0042800,molecular_function,biolink:enables
CPX:CPX-1039,GO:0048188,cellular_component,biolink:located_in
CPX:CPX-1039,GO:0051568,biological_process,biolink:actively_involved_in
CPX:CPX-1040,GO:0003723,molecular_function,biolink:enables
CPX:CPX-1040,GO:0003724,molecular_function,biolink:enables
CPX:CPX-1040,GO:0005524,molecular_function,biolink:enables
CPX:CPX-1040,GO:0006402,biological_process,biolink:actively_involved_in
CPX:CPX-1040,GO:0016887,molecular_function,biolink:enables
CPX:CPX-1040,GO:0034427,biological_process,biolink:actively_involved_in
CPX:CPX-1040,GO:0055087,cellular_component,biolink:located_in
CPX:CPX-1041,GO:0008017,molecular_function,biolink:enables
CPX:CPX-1041,GO:0042729,cellular_component,biolink:located_in
CPX:CPX-1041,GO:0051987,biological_process,biolink:actively_involved_in
CPX:CPX-1041,GO:0072686,cellular_component,biolink:located_in
CPX:CPX-1041,GO:1990758,biological_process,biolink:actively_involved_in
CPX:CPX-1042,GO:0000435,biological_process,biolink:actively_involved_in
CPX:CPX-1042,GO:0005634,cellular_component,biolink:located_in
CPX:CPX-1042,GO:0005667,cellular_component,biolink:located_in
CPX:CPX-1042,GO:0006012,biological_process,biolink:actively_involved_in
CPX:CPX-1043,GO:0000435,biological_process,biolink:actively_involved_in
CPX:CPX-1043,GO:0005634,cellular_component,biolink:located_in
CPX:CPX-1043,GO:0005667,cellular_component,biolink:located_in
CPX:CPX-1043,GO:0006012,biological_process,biolink:actively_involved_in
CPX:CPX-1044,GO:0000431,biological_process,biolink:actively_involved_in
CPX:CPX-1044,GO:0005634,cellular_component,biolink:located_in
CPX:CPX-1044,GO:0006012,biological_process,biolink:actively_involved_in
CPX:CPX-1044,GO:0017053,cellular_component,biolink:located_in
CPX:CPX-1045,GO:0006890,biological_process,biolink:actively_involved_in
CPX:CPX-1045,GO:0030173,cellular_component,biolink:located_in
CPX:CPX-1045,GO:0030176,cellular_component,biolink:located_in
CPX:CPX-1045,GO:0061852,cellular_component,biolink:located_in
CPX:CPX-1047,GO:0008757,molecular_function,biolink:enables
CPX:CPX-1047,GO:0043527,cellular_component,biolink:located_in
CPX:CPX-1047,GO:0070043,molecular_function,biolink:enables
CPX:CPX-1047,GO:0070476,biological_process,biolink:actively_involved_in
CPX:CPX-1047,GO:1904047,molecular_function,biolink:enables
CPX:CPX-1047,GO:1990275,molecular_function,biolink:enables
CPX:CPX-1052,GO:0000049,molecular_function,biolink:enables
CPX:CPX-1052,GO:0002098,biological_process,biolink:actively_involved_in
CPX:CPX-1052,GO:0016300,molecular_function,biolink:enables
CPX:CPX-1052,GO:0043527,cellular_component,biolink:located_in
CPX:CPX-1053,GO:0003723,molecular_function,biolink:enables
CPX:CPX-1053,GO:0004652,molecular_function,biolink:enables
CPX:CPX-1053,GO:0004722,molecular_function,biolink:enables
CPX:CPX-1053,GO:0005524,molecular_function,biolink:enables
CPX:CPX-1053,GO:0005634,cellular_component,biolink:located_in
CPX:CPX-1053,GO:0005847,cellular_component,biolink:located_in
CPX:CPX-1053,GO:0006378,biological_process,biolink:actively_involved_in
CPX:CPX-1053,GO:0016892,molecular_function,biolink:enables
CPX:CPX-1053,GO:0030846,biological_process,biolink:actively_involved_in
CPX:CPX-1053,GO:0098789,biological_process,biolink:actively_involved_in
CPX:CPX-1068,GO:0005635,cellular_component,biolink:located_in
CPX:CPX-1068,GO:0005829,cellular_component,biolink:located_in
CPX:CPX-1068,GO:0042564,cellular_component,biolink:located_in
CPX:CPX-1068,GO:0051170,biological_process,biolink:actively_involved_in
CPX:CPX-1068,GO:0061608,molecular_function,biolink:enables
CPX:CPX-1071,GO:0000400,molecular_function,biolink:enables
CPX:CPX-1071,GO:0000724,biological_process,biolink:actively_involved_in
CPX:CPX-1071,GO:0003697,molecular_function,biolink:enables
CPX:CPX-1071,GO:0003917,molecular_function,biolink:enables
CPX:CPX-1071,GO:0009378,molecular_function,biolink:enables
CPX:CPX-1071,GO:0031422,cellular_component,biolink:located_in
CPX:CPX-1071,GO:0043138,molecular_function,biolink:enables
CPX:CPX-1091,GO:0003887,molecular_function,biolink:enables
CPX:CPX-1091,GO:0005739,cellular_component,biolink:located_in
CPX:CPX-1091,GO:0016035,cellular_component,biolink:located_in
CPX:CPX-1091,GO:0042276,biological_process,biolink:actively_involved_in
CPX:CPX-1101,GO:0000500,cellular_component,biolink:located_in
CPX:CPX-1101,GO:0001165,molecular_function,biolink:enables
CPX:CPX-1101,GO:0005634,cellular_component,biolink:located_in
CPX:CPX-1101,GO:0042790,biological_process,biolink:actively_involved_in
CPX:CPX-1101,GO:0045943,biological_process,biolink:actively_involved_in
CPX:CPX-1102,GO:0004748,molecular_function,biolink:enables
CPX:CPX-1102,GO:0005524,molecular_function,biolink:enables
CPX:CPX-1102,GO:0005737,cellular_component,biolink:located_in
CPX:CPX-1102,GO:0005971,cellular_component,biolink:located_in
CPX:CPX-1102,GO:0009263,biological_process,biolink:actively_involved_in
CPX:CPX-1103,GO:0004748,molecular_function,biolink:enables
CPX:CPX-1103,GO:0005524,molecular_function,biolink:enables
CPX:CPX-1103,GO:0005737,cellular_component,biolink:located_in
CPX:CPX-1103,GO:0005971,cellular_component,biolink:located_in
CPX:CPX-1103,GO:0009263,biological_process,biolink:actively_involved_in
CPX:CPX-112,GO:0000290,biological_process,biolink:actively_involved_in
CPX:CPX-112,GO:0000932,cellular_component,biolink:located_in
CPX:CPX-112,GO:0003730,molecular_function,biolink:enables
CPX:CPX-1125,GO:0007030,biological_process,biolink:actively_involved_in
CPX:CPX-1125,GO:0033106,cellular_component,biolink:located_in
CPX:CPX-1125,GO:0106103,cellular_component,biolink:located_in
CPX:CPX-1140,GO:0005935,cellular_component,biolink:located_in
CPX:CPX-1140,GO:0016020,cellular_component,biolink:located_in
CPX:CPX-1140,GO:0044697,cellular_component,biolink:located_in
CPX:CPX-1140,GO:1902410,biological_process,biolink:actively_involved_in
CPX:CPX-1141,GO:0005524,molecular_function,biolink:enables
CPX:CPX-1141,GO:0005634,cellular_component,biolink:located_in
CPX:CPX-1141,GO:0005667,cellular_component,biolink:located_in
CPX:CPX-1141,GO:0016887,molecular_function,biolink:enables
CPX:CPX-1141,GO:0045892,biological_process,biolink:actively_involved_in
CPX:CPX-1141,GO:1990837,molecular_function,biolink:enables
CPX:CPX-1142,GO:0000055,biological_process,biolink:actively_involved_in
CPX:CPX-1142,GO:0000056,biological_process,biolink:actively_involved_in
CPX:CPX-1142,GO:0003723,molecular_function,biolink:enables
CPX:CPX-1142,GO:0005634,cellular_component,biolink:located_in
CPX:CPX-1142,GO:0006406,biological_process,biolink:actively_involved_in
CPX:CPX-1142,GO:0042272,cellular_component,biolink:located_in
CPX:CPX-1142,GO:0043023,molecular_function,biolink:enables
CPX:CPX-1142,GO:0043024,molecular_function,biolink:enables
CPX:CPX-1143,GO:0000126,cellular_component,biolink:located_in
CPX:CPX-1143,GO:0000995,molecular_function,biolink:enables
CPX:CPX-1143,GO:0006359,biological_process,biolink:actively_involved_in
CPX:CPX-1143,GO:0043565,molecular_function,biolink:enables
CPX:CPX-1143,GO:0044374,molecular_function,biolink:enables
CPX:CPX-1143,GO:0070898,biological_process,biolink:actively_involved_in
CPX:CPX-1149,GO:0000977,molecular_function,biolink:enables
CPX:CPX-1149,GO:0005634,cellular_component,biolink:located_in
CPX:CPX-1149,GO:0005674,cellular_component,biolink:located_in
CPX:CPX-1149,GO:0006355,biological_process,biolink:actively_involved_in
CPX:CPX-1149,GO:0006367,biological_process,biolink:actively_involved_in
CPX:CPX-1149,GO:0051123,biological_process,biolink:actively_involved_in
CPX:CPX-1150,GO:0000785,cellular_component,biolink:located_in
CPX:CPX-1150,GO:0003690,molecular_function,biolink:enables
CPX:CPX-1150,GO:0006338,biological_process,biolink:actively_involved_in
CPX:CPX-1150,GO:0006357,biological_process,biolink:actively_involved_in
CPX:CPX-1150,GO:0016514,cellular_component,biolink:located_in
CPX:CPX-1150,GO:0016887,molecular_function,biolink:enables
CPX:CPX-1150,GO:0140658,molecular_function,biolink:enables
CPX:CPX-1150,GO:1905168,biological_process,biolink:actively_involved_in
CPX:CPX-1151,GO:0003991,molecular_function,biolink:enables
CPX:CPX-1151,GO:0004042,molecular_function,biolink:enables
CPX:CPX-1151,GO:0005759,cellular_component,biolink:located_in
CPX:CPX-1151,GO:0006526,biological_process,biolink:actively_involved_in
CPX:CPX-1151,GO:0034618,molecular_function,biolink:enables
CPX:CPX-1151,GO:0106098,cellular_component,biolink:located_in
CPX:CPX-1152,GO:0000821,biological_process,biolink:actively_involved_in
CPX:CPX-1152,GO:0000981,molecular_function,biolink:enables
CPX:CPX-1152,GO:0005634,cellular_component,biolink:located_in
CPX:CPX-1152,GO:0045944,biological_process,biolink:actively_involved_in
CPX:CPX-1152,GO:0090575,cellular_component,biolink:located_in
CPX:CPX-1153,GO:0005768,cellular_component,biolink:located_in
CPX:CPX-1153,GO:0007032,biological_process,biolink:actively_involved_in
CPX:CPX-1153,GO:0031083,cellular_component,biolink:located_in
CPX:CPX-1153,GO:0032880,biological_process,biolink:actively_involved_in
CPX:CPX-1155,GO:0004395,molecular_function,biolink:enables
CPX:CPX-1155,GO:0005743,cellular_component,biolink:located_in
CPX:CPX-1155,GO:0006744,biological_process,biolink:actively_involved_in
CPX:CPX-1155,GO:0016709,molecular_function,biolink:enables
CPX:CPX-1155,GO:0016712,molecular_function,biolink:enables
CPX:CPX-1155,GO:0043334,molecular_function,biolink:enables
CPX:CPX-1155,GO:0061543,molecular_function,biolink:enables
CPX:CPX-1156,GO:0000776,cellular_component,biolink:located_in
CPX:CPX-1156,GO:0008608,biological_process,biolink:actively_involved_in
CPX:CPX-1157,GO:0003684,molecular_function,biolink:enables
CPX:CPX-1157,GO:0006334,biological_process,biolink:actively_involved_in
CPX:CPX-1157,GO:0035361,cellular_component,biolink:located_in
CPX:CPX-1157,GO:0061630,molecular_function,biolink:enables
CPX:CPX-1162,GO:0004321,molecular_function,biolink:enables
CPX:CPX-1162,GO:0005835,cellular_component,biolink:located_in
CPX:CPX-1162,GO:0031177,molecular_function,biolink:enables
CPX:CPX-1162,GO:0042759,biological_process,biolink:actively_involved_in
CPX:CPX-1165,GO:0006334,biological_process,biolink:actively_involved_in
CPX:CPX-1165,GO:0035361,cellular_component,biolink:located_in
CPX:CPX-1165,GO:0061630,molecular_function,biolink:enables
CPX:CPX-1166,GO:0006342,None,None
CPX:CPX-1166,GO:0035361,cellular_component,biolink:located_in
CPX:CPX-1166,GO:0061630,molecular_function,biolink:enables
CPX:CPX-1167,GO:0006275,biological_process,biolink:actively_involved_in
CPX:CPX-1167,GO:0035361,cellular_component,biolink:located_in
CPX:CPX-1167,GO:0061630,molecular_function,biolink:enables
CPX:CPX-1178,GO:0000132,biological_process,biolink:actively_involved_in
CPX:CPX-1178,GO:0005524,molecular_function,biolink:enables
CPX:CPX-1178,GO:0005737,cellular_component,biolink:located_in
CPX:CPX-1178,GO:0005868,cellular_component,biolink:located_in
CPX:CPX-1178,GO:0008569,molecular_function,biolink:enables
CPX:CPX-1178,GO:0016887,molecular_function,biolink:enables
CPX:CPX-1178,GO:0040001,biological_process,biolink:actively_involved_in
CPX:CPX-1179,GO:0000340,molecular_function,biolink:enables
CPX:CPX-1179,GO:0000956,biological_process,biolink:actively_involved_in
CPX:CPX-1179,GO:0048471,cellular_component,biolink:located_in
CPX:CPX-1179,GO:0050072,molecular_function,biolink:enables
CPX:CPX-1179,GO:0106095,cellular_component,biolink:located_in
CPX:CPX-1185,GO:0000932,cellular_component,biolink:located_in
CPX:CPX-1185,GO:0000956,biological_process,biolink:actively_involved_in
CPX:CPX-1185,GO:1903398,biological_process,biolink:actively_involved_in
CPX:CPX-1186,GO:0000818,cellular_component,biolink:located_in
CPX:CPX-1186,GO:0000922,cellular_component,biolink:located_in
CPX:CPX-1186,GO:0008608,biological_process,biolink:actively_involved_in
CPX:CPX-1187,GO:0000817,cellular_component,biolink:located_in
CPX:CPX-1187,GO:0008608,biological_process,biolink:actively_involved_in
CPX:CPX-1188,GO:0003697,molecular_function,biolink:enables
CPX:CPX-1188,GO:0031261,cellular_component,biolink:located_in
CPX:CPX-1188,GO:0033314,biological_process,biolink:actively_involved_in
CPX:CPX-1188,GO:0034622,None,None
CPX:CPX-1188,GO:1903466,biological_process,biolink:actively_involved_in
CPX:CPX-1189,GO:0000785,cellular_component,biolink:located_in
CPX:CPX-1189,GO:0061635,biological_process,biolink:actively_involved_in
CPX:CPX-1189,GO:2001020,biological_process,biolink:actively_involved_in
CPX:CPX-1190,GO:0000139,cellular_component,biolink:located_in
CPX:CPX-1190,GO:0006511,biological_process,biolink:actively_involved_in
CPX:CPX-1190,GO:0016567,biological_process,biolink:actively_involved_in
CPX:CPX-1190,GO:0044695,cellular_component,biolink:located_in
CPX:CPX-1190,GO:0061630,molecular_function,biolink:enables
CPX:CPX-1191,GO:0004842,molecular_function,biolink:enables
CPX:CPX-1191,GO:0006511,biological_process,biolink:actively_involved_in
CPX:CPX-1191,GO:0009411,biological_process,biolink:actively_involved_in
CPX:CPX-1191,GO:0031463,cellular_component,biolink:located_in
CPX:CPX-1191,GO:0070911,biological_process,biolink:actively_involved_in
CPX:CPX-1192,GO:0016021,cellular_component,biolink:located_in
CPX:CPX-1192,GO:0030173,cellular_component,biolink:located_in
CPX:CPX-1192,GO:0031303,cellular_component,biolink:located_in
CPX:CPX-1192,GO:0033176,cellular_component,biolink:located_in
CPX:CPX-1192,GO:0046961,molecular_function,biolink:enables
CPX:CPX-1192,GO:0048388,biological_process,biolink:actively_involved_in
CPX:CPX-1192,GO:0061795,biological_process,biolink:actively_involved_in
CPX:CPX-1192,GO:1902600,biological_process,biolink:actively_involved_in
CPX:CPX-1193,GO:0007035,biological_process,biolink:actively_involved_in
CPX:CPX-1193,GO:0016021,cellular_component,biolink:located_in
CPX:CPX-1193,GO:0016471,cellular_component,biolink:located_in
CPX:CPX-1193,GO:0046961,molecular_function,biolink:enables
CPX:CPX-1193,GO:0071627,cellular_component,biolink:located_in
CPX:CPX-1193,GO:1902600,biological_process,biolink:actively_involved_in
CPX:CPX-1197,GO:0005789,cellular_component,biolink:located_in
CPX:CPX-1197,GO:0051726,biological_process,biolink:actively_involved_in
CPX:CPX-1197,GO:0071444,biological_process,biolink:actively_involved_in
CPX:CPX-1197,GO:0090443,cellular_component,biolink:located_in
CPX:CPX-1198,GO:0005200,molecular_function,biolink:enables
CPX:CPX-1198,GO:0005816,cellular_component,biolink:located_in
CPX:CPX-1198,GO:0008275,cellular_component,biolink:located_in
CPX:CPX-1198,GO:0010968,biological_process,biolink:actively_involved_in
CPX:CPX-1200,GO:0005634,cellular_component,biolink:located_in
CPX:CPX-1200,GO:0005667,cellular_component,biolink:located_in
CPX:CPX-1200,GO:0006110,biological_process,biolink:actively_involved_in
CPX:CPX-1200,GO:0043565,molecular_function,biolink:enables
CPX:CPX-1200,GO:0060963,biological_process,biolink:actively_involved_in
CPX:CPX-1229,GO:0005634,cellular_component,biolink:located_in
CPX:CPX-1229,GO:0005667,cellular_component,biolink:located_in
CPX:CPX-1229,GO:0006110,biological_process,biolink:actively_involved_in
CPX:CPX-1229,GO:0043565,molecular_function,biolink:enables
CPX:CPX-1229,GO:0060963,biological_process,biolink:actively_involved_in
CPX:CPX-1230,GO:0000164,cellular_component,biolink:located_in
CPX:CPX-1230,GO:0004722,molecular_function,biolink:enables
CPX:CPX-1230,GO:0032174,cellular_component,biolink:located_in
CPX:CPX-1230,GO:0034221,biological_process,biolink:actively_involved_in
CPX:CPX-1231,GO:0000164,cellular_component,biolink:located_in
CPX:CPX-1231,GO:0004722,molecular_function,biolink:enables
CPX:CPX-1231,GO:0005979,biological_process,biolink:actively_involved_in
CPX:CPX-124,GO:0000417,cellular_component,biolink:located_in
CPX:CPX-124,GO:0006334,biological_process,biolink:actively_involved_in
CPX:CPX-124,GO:1905268,biological_process,biolink:actively_involved_in
CPX:CPX-1249,GO:0000164,cellular_component,biolink:located_in
CPX:CPX-1249,GO:0004722,molecular_function,biolink:enables
CPX:CPX-1249,GO:0005634,cellular_component,biolink:located_in
CPX:CPX-1249,GO:0051276,biological_process,biolink:actively_involved_in
CPX:CPX-1260,GO:0000164,cellular_component,biolink:located_in
CPX:CPX-1260,GO:0005634,cellular_component,biolink:located_in
CPX:CPX-1260,GO:0051276,biological_process,biolink:actively_involved_in
CPX:CPX-1260,GO:1905183,biological_process,biolink:actively_involved_in
CPX:CPX-1266,GO:0000164,cellular_component,biolink:located_in
CPX:CPX-1266,GO:0004722,molecular_function,biolink:enables
CPX:CPX-1266,GO:1904547,biological_process,biolink:actively_involved_in
CPX:CPX-1267,GO:0000164,cellular_component,biolink:located_in
CPX:CPX-1267,GO:0004722,molecular_function,biolink:enables
CPX:CPX-1267,GO:1904547,biological_process,biolink:actively_involved_in
CPX:CPX-1268,GO:0004047,molecular_function,biolink:enables
CPX:CPX-1268,GO:0004375,molecular_function,biolink:enables
CPX:CPX-1268,GO:0005739,cellular_component,biolink:located_in
CPX:CPX-1268,GO:0005960,cellular_component,biolink:located_in
CPX:CPX-1268,GO:0006546,biological_process,biolink:actively_involved_in
CPX:CPX-1269,GO:0000030,molecular_function,biolink:enables
CPX:CPX-1269,GO:0006506,biological_process,biolink:actively_involved_in
CPX:CPX-1269,GO:0030176,cellular_component,biolink:located_in
CPX:CPX-1269,GO:0031505,biological_process,biolink:actively_involved_in
CPX:CPX-1269,GO:0035268,biological_process,biolink:actively_involved_in
CPX:CPX-1269,GO:0120097,cellular_component,biolink:located_in
CPX:CPX-1270,GO:0000030,molecular_function,biolink:enables
CPX:CPX-1270,GO:0006506,biological_process,biolink:actively_involved_in
CPX:CPX-1270,GO:0030176,cellular_component,biolink:located_in
CPX:CPX-1270,GO:0031505,biological_process,biolink:actively_involved_in
CPX:CPX-1270,GO:0035268,biological_process,biolink:actively_involved_in
CPX:CPX-1270,GO:1990529,cellular_component,biolink:located_in
CPX:CPX-1274,GO:0000506,cellular_component,biolink:located_in
CPX:CPX-1274,GO:0006506,biological_process,biolink:actively_involved_in
CPX:CPX-1274,GO:0017176,molecular_function,biolink:enables
CPX:CPX-1274,GO:0030176,cellular_component,biolink:located_in
CPX:CPX-1274,GO:0031505,biological_process,biolink:actively_involved_in
CPX:CPX-1275,GO:0003923,molecular_function,biolink:enables
CPX:CPX-1275,GO:0016255,biological_process,biolink:actively_involved_in
CPX:CPX-1275,GO:0030176,cellular_component,biolink:located_in
CPX:CPX-1275,GO:0031505,biological_process,biolink:actively_involved_in
CPX:CPX-1275,GO:0042765,cellular_component,biolink:located_in
CPX:CPX-1276,GO:0070482,biological_process,biolink:actively_involved_in
CPX:CPX-1277,GO:0000977,molecular_function,biolink:enables
CPX:CPX-1277,GO:0008654,biological_process,biolink:actively_involved_in
CPX:CPX-1277,GO:0045944,biological_process,biolink:actively_involved_in
CPX:CPX-1277,GO:0090575,cellular_component,biolink:located_in
CPX:CPX-1278,GO:0000324,cellular_component,biolink:located_in
CPX:CPX-1278,GO:0005737,cellular_component,biolink:located_in
CPX:CPX-1278,GO:0042144,biological_process,biolink:actively_involved_in
CPX:CPX-1278,GO:0120124,cellular_component,biolink:located_in
CPX:CPX-1279,GO:0000324,cellular_component,biolink:located_in
CPX:CPX-1279,GO:0005737,cellular_component,biolink:located_in
CPX:CPX-1279,GO:0042144,biological_process,biolink:actively_involved_in
CPX:CPX-1279,GO:0120124,cellular_component,biolink:located_in
CPX:CPX-1280,GO:0002235,biological_process,biolink:actively_involved_in
CPX:CPX-1280,GO:0030176,cellular_component,biolink:located_in
CPX:CPX-1280,GO:0034099,cellular_component,biolink:located_in
CPX:CPX-1280,GO:0051082,molecular_function,biolink:enables
CPX:CPX-1280,GO:0097466,biological_process,biolink:actively_involved_in
CPX:CPX-1283,GO:0004571,molecular_function,biolink:enables
CPX:CPX-1283,GO:0005788,cellular_component,biolink:located_in
CPX:CPX-1283,GO:0043394,molecular_function,biolink:enables
CPX:CPX-1283,GO:0106055,cellular_component,biolink:located_in
CPX:CPX-1283,GO:1900103,biological_process,biolink:actively_involved_in
CPX:CPX-1283,GO:1904380,biological_process,biolink:actively_involved_in
CPX:CPX-1283,GO:1904382,biological_process,biolink:actively_involved_in
CPX:CPX-1287,GO:0005635,cellular_component,biolink:located_in
CPX:CPX-1287,GO:0005816,cellular_component,biolink:located_in
CPX:CPX-1287,GO:0016021,cellular_component,biolink:located_in
CPX:CPX-1287,GO:0071988,biological_process,biolink:actively_involved_in
CPX:CPX-1287,GO:0106084,cellular_component,biolink:located_in
CPX:CPX-1287,GO:1990608,biological_process,biolink:actively_involved_in
CPX:CPX-1288,GO:0000228,cellular_component,biolink:located_in
CPX:CPX-1288,GO:0000707,biological_process,biolink:actively_involved_in
CPX:CPX-1288,GO:0007131,biological_process,biolink:actively_involved_in
CPX:CPX-1292,GO:0000794,cellular_component,biolink:located_in
CPX:CPX-1292,GO:0042138,biological_process,biolink:actively_involved_in
CPX:CPX-1293,GO:0004591,molecular_function,biolink:enables
CPX:CPX-1293,GO:0005739,cellular_component,biolink:located_in
CPX:CPX-1293,GO:0005947,cellular_component,biolink:located_in
CPX:CPX-1293,GO:0006103,biological_process,biolink:actively_involved_in
CPX:CPX-1293,GO:0042645,cellular_component,biolink:located_in
CPX:CPX-1294,GO:0000049,molecular_function,biolink:enables
CPX:CPX-1294,GO:0001682,biological_process,biolink:actively_involved_in
CPX:CPX-1294,GO:0004526,molecular_function,biolink:enables
CPX:CPX-1294,GO:0005739,cellular_component,biolink:located_in
CPX:CPX-1294,GO:0030678,cellular_component,biolink:located_in
CPX:CPX-1295,GO:0004519,molecular_function,biolink:enables
CPX:CPX-1295,GO:0005844,cellular_component,biolink:located_in
CPX:CPX-1295,GO:0006417,biological_process,biolink:actively_involved_in
CPX:CPX-1295,GO:0031494,biological_process,biolink:actively_involved_in
CPX:CPX-1302,GO:0005034,molecular_function,biolink:enables
CPX:CPX-1302,GO:0005887,cellular_component,biolink:located_in
CPX:CPX-1302,GO:0007232,biological_process,biolink:actively_involved_in
CPX:CPX-1303,GO:0005783,cellular_component,biolink:located_in
CPX:CPX-1303,GO:0005794,cellular_component,biolink:located_in
CPX:CPX-1303,GO:0016021,cellular_component,biolink:located_in
CPX:CPX-1303,GO:0016050,biological_process,biolink:actively_involved_in
CPX:CPX-1303,GO:0030663,cellular_component,biolink:located_in
CPX:CPX-1304,GO:0000011,biological_process,biolink:actively_involved_in
CPX:CPX-1304,GO:0000329,cellular_component,biolink:located_in
CPX:CPX-1304,GO:0043495,molecular_function,biolink:enables
CPX:CPX-1304,GO:0071563,cellular_component,biolink:located_in
CPX:CPX-1306,GO:0005737,cellular_component,biolink:located_in
CPX:CPX-1306,GO:0005854,cellular_component,biolink:located_in
CPX:CPX-1306,GO:0051082,molecular_function,biolink:enables
CPX:CPX-1306,GO:0051083,biological_process,biolink:actively_involved_in
CPX:CPX-1307,GO:0005854,cellular_component,biolink:located_in
CPX:CPX-1307,GO:0051082,molecular_function,biolink:enables
CPX:CPX-1307,GO:0051083,biological_process,biolink:actively_involved_in
CPX:CPX-1314,GO:0000372,biological_process,biolink:actively_involved_in
CPX:CPX-1314,GO:0004521,molecular_function,biolink:enables
CPX:CPX-1314,GO:0005739,cellular_component,biolink:located_in
CPX:CPX-1314,GO:0006397,biological_process,biolink:actively_involved_in
CPX:CPX-1315,GO:0003724,molecular_function,biolink:enables
CPX:CPX-1315,GO:0005524,molecular_function,biolink:enables
CPX:CPX-1315,GO:0005737,cellular_component,biolink:located_in
CPX:CPX-1315,GO:0036002,molecular_function,biolink:enables
CPX:CPX-1315,GO:0070478,biological_process,biolink:actively_involved_in
CPX:CPX-1315,GO:0071026,biological_process,biolink:actively_involved_in
CPX:CPX-1316,GO:0005524,molecular_function,biolink:enables
CPX:CPX-1316,GO:0005634,cellular_component,biolink:located_in
CPX:CPX-1316,GO:0008094,molecular_function,biolink:enables
CPX:CPX-1316,GO:0008186,molecular_function,biolink:enables
CPX:CPX-1316,GO:0031126,biological_process,biolink:actively_involved_in
CPX:CPX-1316,GO:0033678,molecular_function,biolink:enables
CPX:CPX-1316,GO:0035649,cellular_component,biolink:located_in
CPX:CPX-1317,GO:0004721,molecular_function,biolink:enables
CPX:CPX-1317,GO:1903293,cellular_component,biolink:located_in
CPX:CPX-1318,GO:0004721,molecular_function,biolink:enables
CPX:CPX-1318,GO:1903293,cellular_component,biolink:located_in
CPX:CPX-1319,GO:0005543,molecular_function,biolink:enables
CPX:CPX-1319,GO:0010008,cellular_component,biolink:located_in
CPX:CPX-1319,GO:0120010,biological_process,biolink:actively_involved_in
CPX:CPX-1319,GO:0120014,molecular_function,biolink:enables
CPX:CPX-1320,GO:0000224,molecular_function,biolink:enables
CPX:CPX-1320,GO:0005737,cellular_component,biolink:located_in
